Country Name,Country Code,2010
Aruba,ABW,2467703911
Andorra,AND,3346317329
Afghanistan,AFG,15936800636
Angola,AGO,82470913121
Albania,ALB,11926953259
Arab World,ARB,2.10382E+12
United Arab Emirates,ARE,2.86049E+11
Argentina,ARG,4.25916E+11
Armenia,ARM,9260284938
American Samoa,ASM,
Antigua and Barbuda,ATG,1135539037
Australia,AUS,1.14225E+12
Austria,AUT,3.90235E+11
Azerbaijan,AZE,52902703376
Burundi,BDI,2026864469
Belgium,BEL,4.83577E+11
Benin,BEN,6970240895
Burkina Faso,BFA,8979966766
Bangladesh,BGD,1.15279E+11
Bulgaria,BGR,49939168133
Bahrain,BHR,25713271277
"Bahamas, The",BHS,7909580000
Bosnia and Herzegovina,BIH,17163117551
Belarus,BLR,55220932614
Belize,BLZ,1397113450
Bermuda,BMU,5744414000
Bolivia,BOL,19649631308
Brazil,BRA,2.20887E+12
Barbados,BRB,4445500000
Brunei Darussalam,BRN,12370616062
Bhutan,BTN,1585472534
Botswana,BWA,12786662035
Central African Republic,CAF,1986014846
Canada,CAN,1.61341E+12
Central Europe and the Baltics,CEB,1.31161E+12
Switzerland,CHE,5.81212E+11
Channel Islands,CHI,
Chile,CHL,2.17538E+11
China,CHN,6.03966E+12
Cote d'Ivoire,CIV,24884505035
Cameroon,CMR,23622483984
"Congo, Rep.",COG,12007880590
Colombia,COL,2.87018E+11
Comoros,COM,516962886.8
Cabo Verde,CPV,1664310770
Costa Rica,CRI,36298327620
Caribbean small states,CSS,59631444333
Cuba,CUB,64328200000
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,25247424011
Czech Republic,CZE,2.07016E+11
Germany,DEU,3.4173E+12
Djibouti,DJI,1128611700
Dominica,DMA,493703703.7
Denmark,DNK,3.19811E+11
Dominican Republic,DOM,53864484468
Algeria,DZA,1.61207E+11
East Asia & Pacific (excluding high income),EAP,7.82005E+12
Early-demographic dividend,EAR,8.50942E+12
East Asia & Pacific,EAS,1.6674E+13
Europe & Central Asia (excluding high income),ECA,3.0536E+12
Europe & Central Asia,ECS,2.08319E+13
Ecuador,ECU,69555367000
"Egypt, Arab Rep.",EGY,2.18888E+11
Euro area,EMU,1.26404E+13
Eritrea,ERI,2117039512
Spain,ESP,1.43167E+12
Estonia,EST,19494662252
Ethiopia,ETH,29933790334
European Union,EUU,1.69461E+13
Fragile and conflict affected situations,FCS,6.30599E+11
Finland,FIN,2.47815E+11
Fiji,FJI,3140508836
France,FRA,2.64699E+12
Faroe Islands,FRO,2301178416
"Micronesia, Fed. Sts.",FSM,294117200
Gabon,GAB,14358584300
United Kingdom,GBR,2.4035E+12
Georgia,GEO,11638536891
Ghana,GHA,32174772956
Gibraltar,GIB,
Guinea,GIN,4735956493
"Gambia, The",GMB,952429030.4
Guinea-Bissau,GNB,847491366.9
Equatorial Guinea,GNQ,12709498548
Greece,GRC,2.99379E+11
Grenada,GRD,771015888.9
Greenland,GRL,2287220565
Guatemala,GTM,41338008617
Guam,GUM,
Guyana,GUY,2259288396
High income,HIC,4.50046E+13
"Hong Kong SAR, China",HKG,2.28638E+11
Honduras,HND,15839344592
Heavily indebted poor countries (HIPC),HPC,4.63042E+11
Croatia,HRV,59680624422
Haiti,HTI,6622541529
Hungary,HUN,1.30094E+11
IBRD only,IBD,1.97667E+13
IDA & IBRD total,IBT,2.13462E+13
IDA total,IDA,1.58245E+12
IDA blend,IDB,8.51673E+11
Indonesia,IDN,7.55094E+11
IDA only,IDX,7.25817E+11
Isle of Man,IMN,5420291955
India,IND,1.70846E+12
Not classified,INX,
Ireland,IRL,2.20076E+11
"Iran, Islamic Rep.",IRN,4.6779E+11
Iraq,IRQ,1.38517E+11
Iceland,ISL,13236887873
Israel,ISR,2.34322E+11
Italy,ITA,2.12518E+12
Jamaica,JAM,13190512703
Jordan,JOR,26425379437
Japan,JPN,5.49872E+12
Kazakhstan,KAZ,1.48047E+11
Kenya,KEN,39999659234
Kyrgyz Republic,KGZ,4794357795
Cambodia,KHM,11242275199
Kiribati,KIR,150431113.6
St. Kitts and Nevis,KNA,692457407.4
"Korea, Rep.",KOR,1.0945E+12
Kosovo,KSV,5829933775
Kuwait,KWT,1.15419E+11
Latin America & Caribbean (excluding high income),LAC,4.92627E+12
Lao PDR,LAO,7181441140
Lebanon,LBN,38009950249
Liberia,LBR,1292697100
Libya,LBY,74773444901
St. Lucia,LCA,1249497000
Latin America & Caribbean,LCN,5.33558E+12
Least developed countries: UN classification,LDC,6.78321E+11
Low income,LIC,2.89212E+11
Liechtenstein,LIE,5082338965
Sri Lanka,LKA,56725745039
Lower middle income,LMC,4.60154E+12
Low & middle income,LMY,2.06141E+13
Lesotho,LSO,2187482926
Late-demographic dividend,LTE,1.34404E+13
Lithuania,LTU,37132564255
Luxembourg,LUX,52351655629
Latvia,LVA,23743309486
"Macao SAR, China",MAC,28123640999
St. Martin (French part),MAF,
Morocco,MAR,93216746662
Monaco,MCO,5350674803
Moldova,MDA,5811604052
Madagascar,MDG,8729936136
Maldives,MDV,2323401758
Middle East & North Africa,MEA,2.74264E+12
Mexico,MEX,1.05113E+12
Marshall Islands,MHL,163803078.3
Middle income,MIC,2.03246E+13
"Macedonia, FYR",MKD,9407168702
Mali,MLI,10678749467
Malta,MLT,8163355021
Myanmar,MMR,
Middle East & North Africa (excluding high income),MNA,1.36294E+12
Montenegro,MNE,4139192053
Mongolia,MNG,7189482030
Northern Mariana Islands,MNP,
Mozambique,MOZ,10154238250
Mauritania,MRT,4337791531
Mauritius,MUS,9718233911
Malawi,MWI,6959655571
Malaysia,MYS,2.55017E+11
North America,NAC,1.65835E+13
Namibia,NAM,11282192605
New Caledonia,NCL,
Niger,NER,5718589799
Nigeria,NGA,3.69062E+11
Nicaragua,NIC,8741313140
Netherlands,NLD,8.3644E+11
Norway,NOR,4.28525E+11
Nepal,NPL,16002656434
Nauru,NRU,
New Zealand,NZL,1.46585E+11
OECD members,OED,4.43149E+13
Oman,OMN,58641352406
Other small states,OSS,3.12831E+11
Pakistan,PAK,1.77407E+11
Panama,PAN,28917200000
Peru,PER,1.48522E+11
Philippines,PHL,1.99591E+11
Palau,PLW,183800000
Papua New Guinea,PNG,9716103409
Poland,POL,4.79243E+11
Pre-demographic dividend,PRE,1.0015E+12
Puerto Rico,PRI,98381268000
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,2.38318E+11
Paraguay,PRY,20030528043
Pacific island small states,PSS,6469972334
Post-demographic dividend,PST,4.21625E+13
French Polynesia,PYF,
Qatar,QAT,1.25122E+11
Romania,ROU,1.67998E+11
Russian Federation,RUS,1.52492E+12
Rwanda,RWA,5698548988
South Asia,SAS,2.09372E+12
Saudi Arabia,SAU,5.26811E+11
Sudan,SDN,65634109237
Senegal,SEN,12932428288
Singapore,SGP,2.36422E+11
Solomon Islands,SLB,671585231.6
Sierra Leone,SLE,2616610911
El Salvador,SLV,21418300000
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,39460357731
Sub-Saharan Africa (excluding high income),SSA,1.35442E+12
South Sudan,SSD,15727363443
Sub-Saharan Africa,SSF,1.35539E+12
Small states,SST,3.78924E+11
Sao Tome and Principe,STP,195176113.4
Suriname,SUR,4368398048
Slovak Republic,SVK,89254437086
Slovenia,SVN,48016423841
Sweden,SWE,4.88379E+11
Swaziland,SWZ,3527776867
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,969936525.3
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,10657705072
East Asia & Pacific (IDA & IBRD countries),TEA,7.80516E+12
Europe & Central Asia (IDA & IBRD countries),TEC,3.59253E+12
Togo,TGO,3172945645
Thailand,THA,3.40924E+11
Tajikistan,TJK,5642221529
Turkmenistan,TKM,22583157895
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.14263E+12
Middle East & North Africa (IDA & IBRD countries),TMN,1.35403E+12
Timor-Leste,TLS,934000000
Tonga,TON,369816107
South Asia (IDA & IBRD),TSA,2.09372E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.35539E+12
Trinidad and Tobago,TTO,21037612736
Tunisia,TUN,44050929160
Turkey,TUR,7.31168E+11
Tuvalu,TUV,31823518.62
Tanzania,TZA,31407908612
Uganda,UGA,20181796803
Ukraine,UKR,1.36419E+11
Upper middle income,UMC,1.57262E+13
Uruguay,URY,40284682481
United States,USA,1.49644E+13
Uzbekistan,UZB,39332770929
St. Vincent and the Grenadines,VCT,681225963
"Venezuela, RB",VEN,3.93801E+11
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,1.15932E+11
Vanuatu,VUT,700804286.2
West Bank and Gaza,PSE,8913100000
World,WLD,6.5612E+13
Samoa,WSM,656789149.6
"Yemen, Rep.",YEM,30906753495
South Africa,ZAF,3.75349E+11
"Congo, Dem. Rep.",COD,20523285374
Zambia,ZMB,20265552104
Zimbabwe,ZWE,9422161300